"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"Punishment of Felonies (General)","Title 21","21-9",1999,"21-9",1999,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Punishment of Misdemeanors (General)","Title 21","21-10",1910,"21-10",1910,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Acts Resulting in Gross Injury","Title 21","21-22",2007,"21-22",2007,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Aiding in Commission of Misdemeanor","Title 21","21-28",1910,"21-28",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"False Claims for Crime Victim Compensation","Title 21","21-142.16",1981,"21-142.16",1981,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"ACCESSORY TO FELONY - MAX PENALTY FOR PRINCIPAL <4 YEARS","Title 21","21-175",2004,"21-175.A.2",2004,"Felony","0","1","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ACCESSORY TO FELONY - FIRST DEGREE MURDER","Title 21","21-175",2004,"21-175.A.5",2004,"Felony","5","45","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ACCESSORY TO FELONY - SECOND DEGREE MURDER","Title 21","21-175",2004,"21-175.A.5",2004,"Felony","5","25","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Betting or Wagering on Elections","Title 21","21-181",1910,"21-181",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Offers by Election Candidates","Title 21","21-182",1910,"21-182",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Communication of Unlawful Offer","Title 21","21-183",1910,"21-183",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Exceeds Limits on Contributions to Candidates by >=$5000","Title 21","21-187.1.A",2015,"21-187.1.E",2015,"Felony","0","1","0","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Exceeds Limits on Contributions to Candidates by <$5000","Title 21","21-187.1.A",2015,"21-187.1.F",2015,"Misdemeanor","0","1","1000","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Lobbyist Inappropriately Contributes to Candidates","Title 21","21-187.1.G",2015,"21-187.1.H",2015,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Contributions by Corporation Prohibited (Value >$5000)","Title 21","21-187.2",2015,"21-187.2.D",2015,"Felony","0","1","0","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Contributions by Corporation Prohibited (Value <=$5000)","Title 21","21-187.2",2015,"21-187.2.E",2015,"Misdemeanor","0","1","1000","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Acceptance of Public Office Without Oath or Security","Title 21","21-261",1910,"21-261",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Pretending to be Executive Officer","Title 21","21-263",1910,"21-263",1910,"Unspecified","3 months","1","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"False impersonation of peace officers","Title 21","21-264",2007,"21-264.A",2007,"Misdemeanor","0","1","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"False insignia on motor vehicle","Title 21","21-264",2007,"21-264.B",2007,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"OFFERING BRIBE TO EXECUTIVE OFFICER","Title 21","21-265",1999,"21-265",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Receiving a Bribe in Executive Office","Title 21","21-266",1999,"21-266",1999,"Felony","0","10","0","5000","No","Applicable","Not Applicable","Not Applicable"
"INTERFERING WITH AN OFFICER","Title 21","21-267",1910,"21-267",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"RESISTING EXECUTIVE OFFICER","Title 21","21-268",1910,"21-268",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Acceptance of Emolument, Gratuity, or Reward (Executive Officer)","Title 21","21-269.A",2007,"21-269.A",2007,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Acceptance of Emolument, Gratuity, or Reward (State Employee)","Title 21","21-269.B",2007,"21-269.C",2007,"Misdemeanor","0","1","0","500","No","Applicable","Not Applicable","Not Applicable"
"Acceptance of Emolument, Gratuity or Reward for Omission to Perform Duty","Title 21","21-270",1910,"21-270",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Acceptance of Unearned Fees","Title 21","21-271",1910,"21-271",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Procurement of Executive Authority of Governor","Title 21","21-272",1910,"21-272",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Offer of Gratuity or Reward for Appointment","Title 21","21-273",1910,"21-273",1910,"Unspecified","6 months","1","200","1000","No","Applicable","Not Applicable","Not Applicable"
"Receiving Gratuity or Reward for Appointment","Title 21","21-274",1910,"21-274",1910,"Unspecified","6 months","1","200","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Acceptance of Gratuity or Reward for Appointment or Exercise of Office","Title 21","21-275",1999,"21-275",1999,"Felony","6 months","2","200","1000","No","Applicable","Not Applicable","Not Applicable"
"Exercise of Authority after End of Term","Title 21","21-277",1910,"21-277",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Wrongful Refusal to Surrender Seal or Books","Title 21","21-278",1910,"21-278",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Willfully Disturbing, Interfering With or Disrupting State Business, Agency Operations, or Employees","Title 21","21-280",2002,"21-280.C",2002,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"False Statements Made During Internal State Agency Investigations","Title 21","21-281",2009,"21-281",2009,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Entry into Restricted Area - Disruptive Conduct - Obstruction - Acts of Physical Violence (Firearm or Great Bodily Injury)","Title 21","21-282",2011,"21-282.B.1",2011,"Unspecified","0","10","1000","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Entry into Restricted Area - Disruptive Conduct - Obstruction - Acts of Physical Violence","Title 21","21-282",2011,"21-282.B.2",2011,"Unspecified","0","1","500","500","No","Nonspecific","Not Applicable","Not Applicable"
"Prevention of Legislative Meetings","Title 21","21-301",1999,"21-301",1999,"Felony","5","10","500","2000","No","Nonspecific","Not Applicable","Not Applicable"
"Disturbing Legislative Proceedings","Title 21","21-302",1981,"21-302",1981,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Refusal to Leave Legislative Chambers, Galleries and Offices","Title 21","21-302.1",1981,"21-302.1",1981,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Not Applicable"
"Forceful or Fraudulent Adjournment","Title 21","21-303",1999,"21-303",1999,"Felony","5","10","500","2000","No","Nonspecific","Not Applicable","Not Applicable"
"Preventing Legislative Member or Personnel from Performing Official Duties","Title 21","21-304",1981,"21-304",1981,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Compelling or Attempting to Compel the Legislature to Pass, Amend or Reject Bill or Resolution","Title 21","21-305",1999,"21-305",1999,"Felony","5","10","500","2000","No","Nonspecific","Not Applicable","Not Applicable"
"Fraudulent Alteration of Draft Bill or Resolution","Title 21","21-306",1998,"21-306",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Fraudulent Alteration of the Engrossed Copy or Enrollment of Bill","Title 21","21-307",1998,"21-307",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Offer of Bribe to Legislator","Title 21","21-308",1999,"21-308",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Legislator Asking for or Receiving Bribe","Title 21","21-309",1999,"21-309",1999,"Felony","0","10","0","5000","No","Applicable","Not Applicable","Not Applicable"
"Failure to Appear before Legislature","Title 21","21-310",1910,"21-310",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Refusal to Testify or Produce Documents to Legislature","Title 21","21-311",1910,"21-311",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Gift or Offer of Gift to Influence Legislator","Title 21","21-318",1910,"21-320",1999,"Felony","2","5","1000","5000","No","Applicable","Not Applicable","Not Applicable"
"Members of Legislature - Soliciting Money for Securing Employment","Title 21","21-321",1937,"21-322",1999,"Felony","1","5","100","1000","No","Applicable","Not Applicable","Not Applicable"
"Lobbying - Soliciting Funds - Receipts - Filed with Oklahoma Tax Commission","Title 21","21-331",1949,"21-333",1949,"Misdemeanor","6 months","6 months","500","500","No","Nonspecific","Not Applicable","Not Applicable"
"Records Confidential","Title 21","21-332",1949,"21-333",1949,"Misdemeanor","6 months","6 months","500","500","No","Nonspecific","Not Applicable","Not Applicable"
"Compensating Lobbyists on Contingent Basis Prohibited","Title 21","21-334",1999,"21-334",1999,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"EMBEZZLEMENT OF STATE PROPERTY BY PUBLIC OFFICIAL","Title 21","21-341",2002,"21-341",2002,"Felony","1","20","0","500","No","Applicable","Not Applicable","Not Applicable"
"Postage Meter - Unlawful Use","Title 21","21-341.1",1976,"21-341.1",1976,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Willful Violation of Law Regulating Official Conduct","Title 21","21-343",1910,"21-343",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Personal Interest of Official in Transaction","Title 21","21-344",1999,"21-344",1999,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"REFUSAL BY OFFICER TO PERFORM DUTIES","Title 21","21-345",1998,"21-345",1998,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Obstruction of the Collection of Taxes or State Revenue","Title 21","21-346",1910,"21-346",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Willful Neglect by State Officers","Title 21","21-348",1979,"21-348",1979,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"INJURING OR BURNING PUBLIC BUILDING","Title 21","21-349",1999,"21-349",1999,"Felony","0","25","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Seizure of Arms, Military Stores, Supplies","Title 21","21-350",1999,"21-350",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"False Statements Made as Basis of Imposing Tax or Assessment","Title 21","21-351",1984,"21-351",1984,"Misdemeanor","0","1","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Issuance or Payment of Bonds in Excess of Appropriation or Fund","Title 21","21-352",1910,"21-354",1910,"Unspecified","Unspecified","Unspecified","0","1000","No","Applicable","Not Applicable","Not Applicable"
"Purchase of Bonds or Warrants by Interested Officer Unlawful","Title 21","21-353",1910,"21-354",1910,"Unspecified","Unspecified","Unspecified","0","1000","No","Applicable","Not Applicable","Not Applicable"
"Furnishing Public Supplies for Consideration","Title 21","21-355",1998,"21-357",1999,"Felony","30 days","5","50","500","Yes","Nonspecific","Not Applicable","Not Applicable"
"FALSE CLAIMS AGAINST STATE (CLAIM FOR PAYMENT/FUNDS)","Title 21","21-358.A",2004,"21-359.A",2004,"Felony","0","2","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"FALSE CLAIMS AGAINST STATE (MATERIAL STATEMENT/REPRESENTATION)","Title 21","21-358.B",2004,"21-359.B",2004,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Coercing or Advising State Employees to Contribute to Political Activities - Retaliation Against Employee","Title 21","21-360",1999,"21-358",1999,"Felony","0","2","0","10000","No","Applicable","Not Applicable","Not Applicable"
"Use of Trading Stamps, Coupons, Tickets, Certificates, etc., Issued by Reason of Purchases from State Funds Prohibited","Title 21","21-361",1953,"21-363",1953,"Misdemeanor","Unspecified","Unspecified","25","100","No","Nonspecific","Not Applicable","Not Applicable"
"Issuance of Trading Stamps, Tickets, Certificates, etc., Resulting from Purchases by State Prohibited","Title 21","21-362",1953,"21-363",1953,"Misdemeanor","Unspecified","Unspecified","25","100","No","Nonspecific","Not Applicable","Not Applicable"
"Using Flag in Advertising","Title 21","21-371",1919,"21-371",1919,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Desecration of flag","Title 21","21-372",1998,"21-373",1998,"Felony","0","3","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"Display of Red Flag or Emblem of Disloyalty","Title 21","21-374",1999,"21-374",1999,"Felony","0","10","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Raising Certain Flags Over Tax-Supported Property Prohibited","Title 21","21-375.A",2003,"21-375.B",2003,"Unspecified","30 days","6 months","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"BRIBING/ATTEMPTING TO BRIBE AN OFFICER","Title 21","21-380.1",2004,"21-380.1",2004,"Misdemeanor","0","1","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"BRIBING/ATTEMPTING TO BRIBE AN OFFICER (WITH INTENT)","Title 21","21-380.1",2004,"21-380.1",2004,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"BRIBERY OF FIDUCIARY (FIDUCIARY)","Title 21","21-380.A",1999,"21-380.A",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"BRIBERY OF FIDUCIARY (offers, confers, or agrees to confer)","Title 21","21-380.B",1999,"21-380.B",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Bribing Officers","Title 21","21-381",1999,"21-381",1999,"Felony","0","5","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"OFFICER ACCEPTING A BRIBE","Title 21","21-382",1999,"21-382",1999,"Felony","0","10","0","5000","No","Applicable","Not Applicable","Not Applicable"
"Bribery of Judicial Officers, Jurors, etc.","Title 21","21-383",1999,"21-383",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Acceptance of Bribe by Juror, Arbitrator, etc.","Title 21","21-384",1998,"21-384",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Acts Prohibited by Juror","Title 21","21-385",1910,"21-385",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Acceptance of Gifts by Judicial Officer, Juror, etc.","Title 21","21-386",1910,"21-386",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Attempts to Influence Juror","Title 21","21-387",2014,"21-387",2014,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Improper Conduct in Drawing Jury Names","Title 21","21-389",1910,"21-389",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Misconduct of Officer in Charge of Jury","Title 21","21-390",1951,"21-390",1951,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Athletic Contests - Bribery","Title 21","21-399",1999,"21-391",1999,"Felony","0","5","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"Acceptance of Bribe in Connection with Athletic Contest","Title 21","21-400",1999,"21-400",1999,"Felony","0","1","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"Conspiracy to commit a felony","Title 21","21-421",1999,"21-421.C",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Conspiracy by Persons Outside of the State","Title 21","21-422",1999,"21-422",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"CONSPIRACY AGAINST STATE OR SUBDIVISION","Title 21","21-424",1999,"21-423",1999,"Felony","0","10","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"PATTERN OF CRIMINAL OFFENSES","Title 21","21-425",2004,"21-425",2004,"Unspecified","0","2","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"ATTEMPT TO ESCAPE FROM PENITENTIARY","Title 21","21-434",1998,"21-432",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"ATTEMPT TO ESCAPE FROM JAIL","Title 21","21-436",1999,"21-436",1999,"Felony","0","1","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Assisting Escape of Prisoner","Title 21","21-437.A.1",1999,"21-437.A.1",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Assisting Escape of Prisoner","Title 21","21-437.B.2",1999,"21-437.B.2",1999,"Felony","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Providing Prisoner Useful Aids to Escape","Title 21","21-438.A.1",1999,"21-438.A.1",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Providing Prisoner Useful Aids to Escape","Title 21","21-438.A.2",1999,"21-438.A.2",1999,"Felony","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Concealment of Escaped Prisoner","Title 21","21-439",1910,"21-439.A.1",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"HARBORING FUGITIVE","Title 21","21-440.A",2009,"21-440.A",2009,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Aiding a Sex Offender","Title 21","21-440.B",2009,"21-440.C",2009,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Assisting Prisoner in Escape from Officer","Title 21","21-441",1910,"21-441",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Escape from Penal Institutions (COUNTY JAIL/CITY JAIL/DOC CUSTODY)","Title 21","21-443",2010,"21-443.A",2010,"Felony","1","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Escape from Penal Institutions (Preparole Conditional Supervision Program)","Title 21","21-443",2010,"21-443.B",2010,"Felony","2","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Escape from Penal Institutions (Juvenile)","Title 21","21-443",2010,"21-443.E",2010,"Felony","1","3","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ESCAPE OR REMOVAL OF ELECTRONIC MONITORING DEVICE AFTER LAWFUL ARREST (FELONY)","Title 21","21-444",2010,"21-444",2010,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"ESCAPE OR REMOVAL OF ELECTRONIC MONITORING DEVICE AFTER LAWFUL ARREST (MISDEMEANOR)","Title 21","21-444",2010,"21-444",2010,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"UNAUTHORIZED ENTRY INTO JAIL/PRISON","Title 21","21-445",1999,"21-445",1999,"Felony","1","5","500","1000","No","Nonspecific","Not Applicable","Not Applicable"
"TRANSPORT/MOVE/CONCEAL ILLEGAL ALIEN","Title 21","21-446",2010,"21-446.E",2010,"Felony","1","Unspecified","1000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
